,0.0,None
comprehensive,1.8355958935435418e-06,None
announcing,1.8459027048970401e-06,None
confederate,1.8601659276444243e-06,None
twisted,1.8669712381155022e-06,None
warriors,1.8669712381155022e-06,None
non,1.8669712381155022e-06,None
perverse,1.8671797308366522e-06,None
censored,1.8671797308366522e-06,None
childish,1.8671797308366522e-06,None
exploring,1.868327700066361e-06,None
illinois,1.887708477967802e-06,None
vox,1.898803752699777e-06,None
strategy,1.9022981063455165e-06,None
hike,1.943477983632274e-06,None
leilani,1.9727517752498346e-06,None
41,1.9808462580053075e-06,None
usa,1.9925848589409237e-06,None
marketing,2.0004424865130475e-06,None
islamophobic,2.0010877027769976e-06,None
steinle,2.0010877027769976e-06,None
system,2.001097706253864e-06,None
f16,2.002438876129847e-06,None
oap,2.0081679470574767e-06,None
64,2.01242484294255e-06,None
decades,2.0208756481818014e-06,None
betrayed,2.0424484522836007e-06,None
anyway,2.0686865949996595e-06,None
largest,2.095128154039262e-06,None
john,2.0995666449391854e-06,None
unlucky,2.1259345872674566e-06,None
employees,2.1709682798870238e-06,None
petersburg,2.172910051512781e-06,None
suspected,2.187872248642559e-06,None
125,2.192045044864882e-06,None
recognise,2.192045044864882e-06,None
issued,2.1930050625444316e-06,None
500,2.203560492204482e-06,None
teen,2.204119899858694e-06,None
everyones,2.2094433817988267e-06,None
yesterdays,2.2094433817988267e-06,None
gujarat,2.2094433817988267e-06,None
malaysias,2.2094433817988267e-06,None
taipei,2.2149237522999724e-06,None
works,2.218902513189269e-06,None
empire,2.244627953713972e-06,None
feminist,2.2488384111268585e-06,None
rand,2.265932797798101e-06,None
gazette,2.2790492529726416e-06,None
hacks,2.2865662759449766e-06,None
lyndon,2.2865662759449766e-06,None
questionable,2.289213984714208e-06,None
resigned,2.29428946160376e-06,None
smith,2.297268672825511e-06,None
iconic,2.3222564846914045e-06,None
bias,2.3307698676997596e-06,None
mighty,2.3327615359424434e-06,None
metres,2.3433943540233747e-06,None
talent,2.3496572393533687e-06,None
genital,2.3636398980274805e-06,None
delusion,2.3636398980274805e-06,None
nullify,2.3636398980274805e-06,None
damned,2.3636398980274805e-06,None
pandemic,2.3636398980274805e-06,None
sound,2.4045309137608666e-06,None
attends,2.408271271495889e-06,None
settings,2.408271271495889e-06,None
ideas,2.418924386229748e-06,None
deescalation,2.4379101137301692e-06,None
chairperson,2.4379101137301692e-06,None
tool,2.4455067617927928e-06,None
revenues,2.4588429334984e-06,None
actions,2.462123919557101e-06,None
stoneman,2.467160750382875e-06,None
improvement,2.470789282969592e-06,None
subversive,2.4729651939937832e-06,None
pretended,2.4795952272690817e-06,None
indeed,2.486296675003047e-06,None
disingenuous,2.5231527598968974e-06,None
honduran,2.5231527598968974e-06,None
forbids,2.5231527598968974e-06,None
grew,2.5295756955508466e-06,None
sought,2.5414667534712545e-06,None
accomplish,2.552153865370238e-06,None
hierarchy,2.567354565667881e-06,None
arab,2.575325958690529e-06,None
introduced,2.5817310900974182e-06,None
programs,2.5852946161917056e-06,None
wrongdoing,2.607353950398498e-06,None
acknowledged,2.6128371044984104e-06,None
fed,2.620995782412152e-06,None
electric,2.6314186600092626e-06,None
implemented,2.6381535341600378e-06,None
job,2.645366137826525e-06,None
ceased,2.647490056630847e-06,None
desperately,2.665062960588641e-06,None
predators,2.665579208635888e-06,None
unsubstantiated,2.676167102815735e-06,None
doomsday,2.676167102815735e-06,None
saqib,2.6900720099140717e-06,None
tahoe,2.6900720099140717e-06,None
rahul,2.694648536448299e-06,None
admitted,2.7047066140689944e-06,None
allies,2.7373801640661747e-06,None
sri,2.7860269385019617e-06,None
external,2.7974968869232666e-06,None
television,2.8103955749475525e-06,None
surrender,2.8178621008094275e-06,None
conscience,2.819739893747074e-06,None
pages,2.8408935938344576e-06,None
exercising,2.894895262580909e-06,None
enhancing,2.9037255623603647e-06,None
step,2.9165083833042995e-06,None
2030,2.946902006944173e-06,None
marks,2.9505508293457877e-06,None
imran,2.962202727549252e-06,None
capt,2.9683952846312586e-06,None
twostate,2.9683952846312586e-06,None
rana,2.9722614682275756e-06,None
moans,2.9722614682275756e-06,None
sydney,3.0058640971142478e-06,None
clinic,3.01330954115501e-06,None
multitude,3.0192699542873493e-06,None
disturbing,3.03772545263425e-06,None
stable,3.040376101787103e-06,None
interview,3.0663122947568655e-06,None
nail,3.0968728015015793e-06,None
holder,3.142733684078084e-06,None
soviets,3.145368039298372e-06,None
alberta,3.1669603632256524e-06,None
logically,3.17308455391075e-06,None
promoter,3.17308455391075e-06,None
exemplifies,3.17308455391075e-06,None
pretense,3.17308455391075e-06,None
regulations,3.1773419787663277e-06,None
history,3.2002222672042818e-06,None
relationship,3.2125935890293695e-06,None
investor,3.258438594198854e-06,None
dutertes,3.2756039196052715e-06,None
hyderabad,3.2756039196052715e-06,None
placer,3.2756039196052715e-06,None
fierce,3.275625401988843e-06,None
zarif,3.2961648784594863e-06,None
geneva,3.313432199141029e-06,None
admitting,3.3360503383045356e-06,None
windsor,3.368368747754742e-06,None
denying,3.377280777386845e-06,None
1970s,3.4100735559952545e-06,None
stepped,3.4478182801568744e-06,None
isil,3.485323899101676e-06,None
sgt,3.5229218013367434e-06,None
framework,3.526266331106671e-06,None
hacking,3.542172885624302e-06,None
assumption,3.542172885624302e-06,None
father,3.5462425671453106e-06,None
network,3.55958117133241e-06,None
capacity,3.5666580526182303e-06,None
demonstrating,3.578336526044439e-06,None
completion,3.5871818329152834e-06,None
remarks,3.600011585997631e-06,None
cover,3.601909214471303e-06,None
walter,3.6080810852515117e-06,None
famously,3.6080810852515117e-06,None
duchess,3.6147067417725517e-06,None
iranbacked,3.6147067417725517e-06,None
nonproliferation,3.616462219926162e-06,None
phase,3.6168431326264143e-06,None
arrives,3.6208233967885295e-06,None
welcome,3.642886403646136e-06,None
utter,3.66507533810244e-06,None
brand,3.6665138931733278e-06,None
accept,3.6688904326054983e-06,None
defy,3.6815827967054123e-06,None
committed,3.7218010909105117e-06,None
confuse,3.7288456005304315e-06,None
homosexuals,3.7288456005304315e-06,None
overhaul,3.780248476024849e-06,None
congresswoman,3.7869599662223467e-06,None
throws,3.7869599662223467e-06,None
denouncing,3.7907191733946453e-06,None
rockets,3.8079352094398283e-06,None
brains,3.821080951976997e-06,None
toronto,3.821709159092011e-06,None
dangerous,3.821757969813626e-06,None
condolences,3.853300872549732e-06,None
upgrade,3.853300872549732e-06,None
pulls,3.870041982165935e-06,None
accurately,3.895144729535649e-06,None
engaging,3.910250940949951e-06,None
vatican,3.926069433239423e-06,None
migration,3.946844302375378e-06,None
11000,3.989027362834367e-06,None
longrange,3.989027362834367e-06,None
10year,3.989027362834367e-06,None
chicagos,3.989027362834367e-06,None
hadi,3.989027362834367e-06,None
disclaimer,3.9892961131436244e-06,None
balochistan,3.9892961131436244e-06,None
characterizes,3.995507557934829e-06,None
memories,4.020705051963801e-06,None
employment,4.066204433465441e-06,None
decisions,4.06718741029812e-06,None
stronghold,4.07217097485249e-06,None
journalism,4.103775654888094e-06,None
historian,4.136201930274019e-06,None
rest,4.172581641573551e-06,None
53,4.193984905646612e-06,None
hartford,4.204598396085511e-06,None
duo,4.221187108481907e-06,None
haider,4.221187108481907e-06,None
911,4.2495902218403566e-06,None
fissure,4.27419478587807e-06,None
asians,4.3062456340566145e-06,None
rex,4.378544449822832e-06,None
slaying,4.400662645025011e-06,None
hightech,4.402237285287474e-06,None
lifethreatening,4.402237285287474e-06,None
photos,4.43400057275199e-06,None
confident,4.446797196271857e-06,None
psychologically,4.496249718981603e-06,None
proclaim,4.496249718981603e-06,None
felons,4.496249718981603e-06,None
psychological,4.5473153817143125e-06,None
new,4.5530717781621056e-06,None
deficit,4.560652162779721e-06,None
f,4.560652162779721e-06,None
diplomacy,4.591604386833769e-06,None
shed,4.616363794294583e-06,None
longstanding,4.6234677890659184e-06,None
consultations,4.645424426994339e-06,None
69,4.649538541248189e-06,None
ismail,4.649538541248189e-06,None
approval,4.69425623313693e-06,None
bond,4.716433043689567e-06,None
standard,4.759848603838137e-06,None
implementation,4.772633083460325e-06,None
ivanka,4.776920785316926e-06,None
maryland,4.814455887960132e-06,None
paris,4.833697145245247e-06,None
damning,4.839511513659674e-06,None
wider,4.845839917514694e-06,None
tourists,4.845839917514694e-06,None
runup,4.858392512364051e-06,None
title,4.878520633311274e-06,None
contained,4.878520633311274e-06,None
newt,4.910794968192345e-06,None
reactionary,4.910794968192345e-06,None
intrinsically,4.910794968192345e-06,None
shooters,4.928249559888823e-06,None
cared,4.939525457668267e-06,None
immune,4.939525457668267e-06,None
major,4.958952275120467e-06,None
gotten,4.9643594123029795e-06,None
fatally,4.968518601674224e-06,None
incorrect,5.006767368311291e-06,None
experiences,5.007296596928602e-06,None
deals,5.0156559355505155e-06,None
arrogant,5.01962695402359e-06,None
unfortunately,5.053943081393198e-06,None
warn,5.158305627250253e-06,None
zeal,5.180573389614446e-06,None
wasserman,5.180573389614446e-06,None
papacy,5.180573389614446e-06,None
outside,5.224834690160451e-06,None
selection,5.25444253535016e-06,None
plausible,5.281508471647784e-06,None
recommendations,5.317719663343523e-06,None
reception,5.335333259960639e-06,None
bangkok,5.355385164742819e-06,None
awardwinning,5.3619740356065895e-06,None
clambake,5.3619740356065895e-06,None
democratgazette,5.3619740356065895e-06,None
unveiled,5.392559782661566e-06,None
relentlessly,5.407644646221366e-06,None
worldview,5.417965906936274e-06,None
nuke,5.417965906936274e-06,None
inherent,5.485490798095117e-06,None
taken,5.523172564363646e-06,None
jeff,5.567934059251278e-06,None
attract,5.600694542681193e-06,None
characterized,5.628479705996822e-06,None
surfing,5.632946017286287e-06,None
discovered,5.663653781585198e-06,None
pollution,5.66712137365825e-06,None
potential,5.70952159923671e-06,None
burglar,5.712002892399071e-06,None
dance,5.771283582287786e-06,None
fault,5.818248637840919e-06,None
targets,5.839367323324622e-06,None
puppets,5.846786854415072e-06,None
trashing,5.846786854415072e-06,None
cartoons,5.861887041106571e-06,None
awarded,5.864462318867891e-06,None
coordinator,5.865500020019573e-06,None
cairo,5.873861109744882e-06,None
400,5.874162234587296e-06,None
square,5.876395450911466e-06,None
strange,5.889632026030284e-06,None
charade,5.906160825189694e-06,None
hotbed,5.906160825189694e-06,None
antigovernment,5.908018862094265e-06,None
sajid,5.908018862094265e-06,None
onethird,5.917932614040794e-06,None
300foottall,5.917932614040794e-06,None
ransacks,5.917932614040794e-06,None
driftnet,5.917932614040794e-06,None
sealegacy,5.917932614040794e-06,None
76,5.950463520313992e-06,None
offer,5.95425478987575e-06,None
cause,5.98708021656342e-06,None
fashion,6.042579485050863e-06,None
consultant,6.042579485050863e-06,None
hosting,6.095014297563303e-06,None
yeah,6.161571551988646e-06,None
downing,6.206987344249574e-06,None
jihadist,6.238450042545451e-06,None
quarter,6.250458745937434e-06,None
solutions,6.271069305107488e-06,None
regulator,6.2917046615630085e-06,None
turned,6.310553070320906e-06,None
lower,6.3200480590642724e-06,None
problem,6.333479386855857e-06,None
legalized,6.346407351373116e-06,None
communities,6.381195496271439e-06,None
gangs,6.469210018893974e-06,None
liu,6.517831939948225e-06,None
correspondents,6.517831939948225e-06,None
learn,6.5275870655866685e-06,None
startups,6.531738303536712e-06,None
cruzs,6.531738303536712e-06,None
dny,6.531738303536712e-06,None
25yearold,6.531738303536712e-06,None
enslaved,6.6193546956358306e-06,None
imply,6.704620733240657e-06,None
pilots,6.726303458087331e-06,None
lifted,6.743733688093306e-06,None
amir,6.813242987536562e-06,None
competitive,6.8297696136763245e-06,None
davis,6.835481514346645e-06,None
biological,6.885799210474791e-06,None
observatory,6.924825386330859e-06,None
musk,6.930254091902236e-06,None
bald,6.930254091902236e-06,None
prosecuting,6.993997968801294e-06,None
gold,7.00575492123886e-06,None
61,7.020388731478812e-06,None
simpson,7.037705477845416e-06,None
speaking,7.0563024006193665e-06,None
ordained,7.138455168056009e-06,None
fourteen,7.138455168056009e-06,None
perpetuate,7.138455168056009e-06,None
amoris,7.172570637970357e-06,None
employed,7.184169136385706e-06,None
shelling,7.192287110640363e-06,None
830,7.209435244439079e-06,None
plc,7.209435244439079e-06,None
shahbaz,7.209435244439079e-06,None
partnerships,7.264923647895242e-06,None
antisemitic,7.264923647895242e-06,None
priest,7.297249309876469e-06,None
profound,7.446865041351333e-06,None
question,7.450924936448055e-06,None
associated,7.4685691436393256e-06,None
landed,7.497477205151551e-06,None
hq,7.49768010097005e-06,None
leaving,7.534538932520297e-06,None
globally,7.536914543117792e-06,None
holidays,7.545264317862666e-06,None
javad,7.545264317862666e-06,None
include,7.576068870886567e-06,None
determines,7.579982885290071e-06,None
expansion,7.609814623638199e-06,None
subjected,7.631319711563115e-06,None
neighbourhood,7.633626313037147e-06,None
pious,7.646981190640499e-06,None
vandalized,7.646981190640499e-06,None
liturgy,7.646981190640499e-06,None
islamist,7.680916992537817e-06,None
burn,7.701764131756401e-06,None
occurred,7.721382262983967e-06,None
entrusted,7.753044504667904e-06,None
colonies,7.753044504667904e-06,None
assure,7.75926251844433e-06,None
estimates,7.784984143322046e-06,None
dealing,7.81494554430542e-06,None
hotels,7.833995194407415e-06,None
funneled,7.861057918111731e-06,None
circumvent,7.861057918111731e-06,None
83,7.907024255011755e-06,None
deceive,7.923867821370954e-06,None
dea,7.923867821370954e-06,None
innocents,7.923867821370954e-06,None
preclude,7.923867821370954e-06,None
grotesque,7.923867821370954e-06,None
prisoners,7.956749207016176e-06,None
14yearold,7.957702270449631e-06,None
hindi,7.957702270449631e-06,None
euros,7.996968126558497e-06,None
achievement,8.004109360278415e-06,None
arrangement,8.004109360278415e-06,None
71,8.023778073826244e-06,None
earnings,8.023778073826244e-06,None
importantly,8.109000388673338e-06,None
coastal,8.112576104213298e-06,None
lawmaker,8.129062250631046e-06,None
120,8.171083472122603e-06,None
commitments,8.208007253462237e-06,None
investing,8.211506646526251e-06,None
destinations,8.2786327064345e-06,None
subjective,8.35314703740523e-06,None
broader,8.44009129334621e-06,None
practicing,8.573328948088289e-06,None
call,8.65787377226337e-06,None
n,8.660110446778132e-06,None
parents,8.721748124865804e-06,None
directorgeneral,8.783919962651872e-06,None
pointofview,8.783919962651872e-06,None
advocating,8.857921644227013e-06,None
accordingly,8.965393711338714e-06,None
70th,8.965393711338714e-06,None
wounded,9.025326168376939e-06,None
suburbs,9.06360006539768e-06,None
bds,9.089184627399791e-06,None
traffic,9.103618011819584e-06,None
44,9.105119843251757e-06,None
payment,9.140650006181853e-06,None
logic,9.191392250040775e-06,None
package,9.231796061603967e-06,None
painfully,9.353633370534212e-06,None
assumed,9.430214285454162e-06,None
edward,9.430214285454162e-06,None
commissioners,9.556091545357942e-06,None
georges,9.556091545357942e-06,None
km,9.569015560515771e-06,None
bodega,9.657241175985584e-06,None
sfgate,9.657241175985584e-06,None
weekday,9.696244840152215e-06,None
whove,9.696244840152215e-06,None
cpec,9.696244840152215e-06,None
abscbn,9.696244840152215e-06,None
anathema,9.719671404718236e-06,None
virtuous,9.719671404718236e-06,None
signature,9.812370846454308e-06,None
execute,9.832964087582021e-06,None
criticized,9.85470453791889e-06,None
humans,9.866988829927123e-06,None
consumers,9.880201183429957e-06,None
lawlessness,9.888969781542723e-06,None
startup,9.934035981202088e-06,None
studio,9.934035981202088e-06,None
nancy,9.956002876708153e-06,None
japanese,9.977962465568396e-06,None
evan,1.0021228307060727e-05,None
chamber,1.0051621630340635e-05,None
girl,1.0051842003859495e-05,None
slammed,1.0065551561579627e-05,None
cognitive,1.0096021285545396e-05,None
somali,1.0096021285545396e-05,None
intentionally,1.0096376286454628e-05,None
biggest,1.0130855265917092e-05,None
jeb,1.0147257580236193e-05,None
increased,1.0248854287944385e-05,None
thomas,1.0281379741717298e-05,None
headed,1.033838958968182e-05,None
tonight,1.0370254887253265e-05,None
ugly,1.0493074039643605e-05,None
holiday,1.0511342784216266e-05,None
motive,1.0521026195432884e-05,None
nonsensical,1.0618917131203238e-05,None
intolerant,1.0618917131203238e-05,None
dares,1.0618917131203238e-05,None
disinformation,1.0626361540684697e-05,None
ng,1.0655348901118512e-05,None
factory,1.0672211755468876e-05,None
nucleararmed,1.0703691453813993e-05,None
nature,1.0759008197549937e-05,None
tampa,1.0812701900387703e-05,None
footage,1.086140943419117e-05,None
manifest,1.0883752205929577e-05,None
speak,1.0887607281291524e-05,None
toxic,1.0905581431867116e-05,None
publishing,1.091574357599281e-05,None
songs,1.093238267153187e-05,None
kilometres,1.0994613532491872e-05,None
shinzo,1.0994613532491872e-05,None
withdrew,1.1096080968907567e-05,None
sd,1.115049596824409e-05,None
appeal,1.122432130308715e-05,None
equity,1.1257696895014341e-05,None
wrath,1.1275026723444846e-05,None
preaching,1.128246727706169e-05,None
bound,1.1320481360641239e-05,None
missions,1.1364942440096807e-05,None
buyers,1.1379129373578749e-05,None
congressmen,1.1426878334248864e-05,None
prosperity,1.1537661468817847e-05,None
rescue,1.1615848625670195e-05,None
klux,1.167604412385109e-05,None
overturning,1.167604412385109e-05,None
pontifical,1.167604412385109e-05,None
seconddegree,1.1816223232811632e-05,None
allout,1.1816223232811632e-05,None
highquality,1.1816223232811632e-05,None
raja,1.1816223232811632e-05,None
oversees,1.1968449937819939e-05,None
speaker,1.1971647281807757e-05,None
husbands,1.1993168918763327e-05,None
shareholders,1.1993168918763327e-05,None
hopelessly,1.205962583289847e-05,None
fervor,1.205962583289847e-05,None
disgusting,1.2079298328019136e-05,None
renewable,1.2098540571261943e-05,None
afghanistan,1.21896338313174e-05,None
thirty,1.2230277547701164e-05,None
circumstances,1.2230550609607846e-05,None
stars,1.2284073428816627e-05,None
relatives,1.2307269324025949e-05,None
inside,1.2344216413376967e-05,None
oak,1.237806412993269e-05,None
shore,1.2382414122785713e-05,None
argument,1.2446873389023427e-05,None
applies,1.245371291303499e-05,None
historical,1.2596085452972488e-05,None
prosecuted,1.2652672795660162e-05,None
admits,1.2652672795660162e-05,None
capitals,1.2830634111054073e-05,None
congo,1.2830634111054073e-05,None
mainland,1.2846967269228454e-05,None
lifestyle,1.2846967269228454e-05,None
emerged,1.2861073051008703e-05,None
schedule,1.2995256891822603e-05,None
treasury,1.3028193360393043e-05,None
italys,1.3044853026149138e-05,None
30day,1.3044853026149138e-05,None
onesided,1.3044853026149138e-05,None
28yearold,1.3044853026149138e-05,None
sic,1.3044853026149138e-05,None
charlotte,1.3076206455751598e-05,None
lane,1.3143813826416978e-05,None
hide,1.3197018545340784e-05,None
levant,1.3313176743336962e-05,None
ok,1.3417227402807729e-05,None
opens,1.3425012151984378e-05,None
interrogation,1.3473027997141953e-05,None
definitions,1.3564500496555568e-05,None
malik,1.3618463441829958e-05,None
despicable,1.3782113069813994e-05,None
assumes,1.3782113069813994e-05,None
douglas,1.3943778636617292e-05,None
dublin,1.3954383593614176e-05,None
fool,1.4075700595343763e-05,None
overthrown,1.4077084975512682e-05,None
66,1.4290337892618504e-05,None
cyr,1.4314614513138169e-05,None
westminster,1.431805557396969e-05,None
find,1.4348143640945401e-05,None
20yearold,1.4401754383907e-05,None
wifes,1.4401754383907e-05,None
thirdparty,1.4401754383907e-05,None
haq,1.4401754383907e-05,None
critics,1.4422012354917645e-05,None
store,1.4451347908641811e-05,None
commandment,1.4487340897445869e-05,None
weaponize,1.4487340897445869e-05,None
prophetic,1.4487340897445869e-05,None
denunciations,1.4487340897445869e-05,None
obeying,1.4487340897445869e-05,None
purveyors,1.4487340897445869e-05,None
betrays,1.4487340897445869e-05,None
despise,1.4487340897445869e-05,None
abdullah,1.4542006601668611e-05,None
del,1.4844669105023631e-05,None
confrontation,1.4852880443953912e-05,None
2004,1.4930089346472711e-05,None
yuan,1.4944501553779316e-05,None
resistance,1.494908485419265e-05,None
delayed,1.4964705879548253e-05,None
ashraf,1.5018524873243675e-05,None
regulatory,1.5028046436366314e-05,None
understood,1.5080230723669765e-05,None
grabbing,1.5117453541797352e-05,None
jumps,1.5338947111147865e-05,None
1981,1.5376661066781122e-05,None
judged,1.540591189126549e-05,None
recognised,1.5613553241473884e-05,None
deems,1.563521790864201e-05,None
delivers,1.570183181475719e-05,None
grief,1.5830284789487012e-05,None
beautiful,1.5853018234097075e-05,None
manufacturing,1.5854800050245706e-05,None
23yearold,1.5900384736938943e-05,None
rariz,1.5900384736938943e-05,None
savings,1.5916817554800153e-05,None
surgery,1.597376842124636e-05,None
determine,1.5994593517324466e-05,None
branch,1.6038644980724924e-05,None
object,1.6093514824032065e-05,None
rates,1.6095431344584804e-05,None
cards,1.6099438035603655e-05,None
driver,1.6117910141423454e-05,None
steep,1.6120027265193546e-05,None
warplanes,1.6120027265193546e-05,None
omnibus,1.6172209805504452e-05,None
justifies,1.6273156530704134e-05,None
territories,1.6279735439695306e-05,None
refusal,1.6410874187875202e-05,None
deepening,1.654305519959238e-05,None
undoubtedly,1.6653924346851642e-05,None
systematic,1.6674273637560138e-05,None
ambitions,1.6812951924338987e-05,None
identifies,1.688910594449709e-05,None
denounced,1.6899627377872403e-05,None
resume,1.6960831133289213e-05,None
corporations,1.7010009345797327e-05,None
parks,1.713150781625482e-05,None
exchanges,1.713150781625482e-05,None
weekly,1.717202099461092e-05,None
craft,1.7231407426346934e-05,None
track,1.7309416777841554e-05,None
learned,1.7388013969227183e-05,None
lowcost,1.7555621760320134e-05,None
cias,1.7555621760320134e-05,None
sardar,1.7555621760320134e-05,None
leaguenawaz,1.7555621760320134e-05,None
plants,1.7634665439867726e-05,None
1700,1.773784707487067e-05,None
pretty,1.776567618688611e-05,None
project,1.782657895562796e-05,None
items,1.8024063466232008e-05,None
factors,1.8059542427620823e-05,None
underlined,1.8167905749057066e-05,None
ahsan,1.8167905749057066e-05,None
obtain,1.8195211518057438e-05,None
hurdles,1.8222371869861685e-05,None
purported,1.8333255609922038e-05,None
echo,1.8333255609922038e-05,None
absurdity,1.8405221618515613e-05,None
lenin,1.8405221618515613e-05,None
trampled,1.8405221618515613e-05,None
sons,1.8480672396602745e-05,None
hypothesis,1.8488834731268403e-05,None
chef,1.8532619812897853e-05,None
cling,1.860105985458918e-05,None
fixed,1.8653209641769692e-05,None
analyzing,1.8661614167530936e-05,None
sounding,1.8661614167530936e-05,None
declare,1.871641281599934e-05,None
initially,1.8877768839034368e-05,None
consists,1.8900678064503033e-05,None
bother,1.890791467316257e-05,None
formally,1.9031556052888834e-05,None
williams,1.903836152967114e-05,None
postponed,1.9044529746308102e-05,None
engaged,1.9076312825030723e-05,None
violation,1.9205053626786524e-05,None
tallahassee,1.923526921100037e-05,None
brexiteers,1.923526921100037e-05,None
overturn,1.923649770574316e-05,None
citizen,1.924440455748986e-05,None
irelands,1.9383914346476758e-05,None
firstever,1.9383914346476758e-05,None
amit,1.9383914346476758e-05,None
lastminute,1.9383914346476758e-05,None
sharifs,1.9383914346476758e-05,None
abcs,1.9383914346476758e-05,None
bhutto,1.9383914346476758e-05,None
warned,1.938738899068328e-05,None
critique,1.977172116426211e-05,None
plotting,1.99641420658276e-05,None
osama,2.0017256467726273e-05,None
parts,2.0021808381118254e-05,None
coalitions,2.003209778970664e-05,None
connectivity,2.003209778970664e-05,None
priorities,2.042814883007957e-05,None
separation,2.0443036096019962e-05,None
threaten,2.0669761061234034e-05,None
losses,2.0783534948084003e-05,None
earth,2.085949176984581e-05,None
suppliers,2.0887364054311953e-05,None
menu,2.0887364054311953e-05,None
struggled,2.1048148289241718e-05,None
origins,2.1088178904211926e-05,None
showed,2.1184501324447767e-05,None
frustration,2.13022604218274e-05,None
ticket,2.1344412436715285e-05,None
rcalif,2.1403449770183267e-05,None
facetoface,2.1403449770183267e-05,None
motorcyclist,2.1403449770183267e-05,None
confirmed,2.146971132002653e-05,None
obamacare,2.156717847195814e-05,None
forgot,2.1672784692296077e-05,None
busted,2.1846545729791273e-05,None
conform,2.1846545729791273e-05,None
classmates,2.2069766921962373e-05,None
confronted,2.2077303750928926e-05,None
mccains,2.208791288074273e-05,None
incidents,2.2169900139402056e-05,None
stressing,2.2235298380367584e-05,None
broadcaster,2.2284461070835705e-05,None
renewed,2.2511999281697894e-05,None
bill,2.252583533909629e-05,None
insanity,2.2599224743695264e-05,None
desperate,2.260709977726627e-05,None
frenzy,2.2746959308983916e-05,None
collaboration,2.2957654080313258e-05,None
missing,2.2996575519490786e-05,None
eight,2.3000895680821314e-05,None
discriminated,2.3009743912376977e-05,None
protects,2.3116098780650425e-05,None
roe,2.320562455275647e-05,None
proclaiming,2.3273805821486553e-05,None
imam,2.3365606693572182e-05,None
improvements,2.3367199216083786e-05,None
rohingya,2.363073622084447e-05,None
201819,2.363433880128127e-05,None
730,2.363433880128127e-05,None
ecommerce,2.363433880128127e-05,None
worldly,2.3635635786192766e-05,None
annihilate,2.3635635786192766e-05,None
prefect,2.3635635786192766e-05,None
venture,2.3898130378196585e-05,None
manipulated,2.402241143273029e-05,None
cohen,2.405278105951934e-05,None
occupying,2.41557794255755e-05,None
seized,2.430678295731053e-05,None
unique,2.4403030760019823e-05,None
black,2.446287827080512e-05,None
plot,2.453915210870115e-05,None
western,2.45847939076964e-05,None
representing,2.4736971445399713e-05,None
shell,2.489113948695978e-05,None
repetition,2.5002059697721994e-05,None
miscarriage,2.5002059697721994e-05,None
terrorized,2.5002059697721994e-05,None
beheaded,2.5002059697721994e-05,None
vilified,2.5002059697721994e-05,None
villages,2.509453269096193e-05,None
undermining,2.522794414817205e-05,None
proving,2.522794414817205e-05,None
facing,2.5313899860031558e-05,None
room,2.5362863415481078e-05,None
range,2.5415279139115864e-05,None
impeach,2.5673183674042792e-05,None
pact,2.582039621566433e-05,None
tamil,2.5854100719221314e-05,None
truce,2.6001152012568854e-05,None
offshore,2.6088809748775907e-05,None
communitys,2.6098820714034896e-05,None
oneyear,2.6098820714034896e-05,None
hearst,2.6098820714034896e-05,None
mexicos,2.6098820714034896e-05,None
indonesias,2.6098820714034896e-05,None
giulianis,2.6098820714034896e-05,None
weaponized,2.6161492602958616e-05,None
comparable,2.6234769966213183e-05,None
appreciated,2.6319360007326897e-05,None
birthday,2.632471268936852e-05,None
serial,2.6357165864092282e-05,None
prisoner,2.6386802344198958e-05,None
remaining,2.650058973793164e-05,None
offices,2.656413191346994e-05,None
embedded,2.6651945009756574e-05,None
fundamentally,2.6671254520456132e-05,None
violence,2.6750408071939327e-05,None
romney,2.675438482663815e-05,None
assumptions,2.675438482663815e-05,None
rallies,2.6783292511666904e-05,None
250,2.6875432031086215e-05,None
strengthening,2.6875432031086215e-05,None
allegiance,2.6880351416551065e-05,None
practices,2.7169846378395094e-05,None
crises,2.7367755264462964e-05,None
ontario,2.75388097157272e-05,None
self,2.776242483241343e-05,None
classrooms,2.7824305221775202e-05,None
breakfast,2.7824305221775202e-05,None
stance,2.7952752334995547e-05,None
integration,2.7993518958937304e-05,None
formal,2.799926968436646e-05,None
mom,2.8041774369054022e-05,None
dear,2.8164496882068046e-05,None
desk,2.8324481422632223e-05,None
match,2.8368039793966428e-05,None
exercised,2.8376631912855556e-05,None
lanka,2.8534214721899398e-05,None
armies,2.8553527729027008e-05,None
describe,2.8814510754723436e-05,None
churchs,2.88214903566837e-05,None
ukbased,2.88214903566837e-05,None
iranianbacked,2.88214903566837e-05,None
industrys,2.88214903566837e-05,None
fourday,2.88214903566837e-05,None
800000,2.88214903566837e-05,None
sr,2.88214903566837e-05,None
ghulam,2.88214903566837e-05,None
p51,2.88214903566837e-05,None
friendship,2.882349422996409e-05,None
stalled,2.8965245602188683e-05,None
resembling,2.9035785530949707e-05,None
exploding,2.9035785530949707e-05,None
prices,2.906715878077624e-05,None
end,2.911977870881994e-05,None
controlled,2.9308255434015676e-05,None
chasm,2.9636022128467216e-05,None
cursory,2.9636022128467216e-05,None
schism,2.9636022128467216e-05,None
fawning,2.9636022128467216e-05,None
inauguration,2.976276873626136e-05,None
