Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Monica Wehby	4	The U.N. Arms Treaty"infringes upon our right to keep and bear arms."	A shot nowhere near the bullseye	/oregon/statements/2014/jun/20/monica-wehby/will-un-arms-trade-treaty-infringe-our-right-keep-/	
Monica Wehby	4	"Jeff Merkley was the deciding vote on Obamacare, which in Oregon has been an unmitigated disaster."	Casting about when it comes to claims on the ACA	/oregon/statements/2014/may/23/monica-wehby/was-jeff-merkley-deciding-vote-obamacare/	
Mothers Against Drunk Driving	0	"A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions."	In fatal accidents, first timers common	/wisconsin/statements/2014/feb/24/mothers-against-drunk-driving/madd-says-most-drunken-driving-deaths-caused-first/	
Virginia Lottery	1	"Since 1999, all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade."	No way to be sure before 2008	/virginia/statements/2011/mar/09/virginia-lottery/virginia-lottery-claims-all-profits-1999-have-gone/	
Heather McGhee	0	"The Republican presidential nominee hasnt won women since 1988."	GOP won women by 1 percentage point in '88	/punditfact/statements/2015/aug/09/heather-mcghee/republican-presidential-nominee-hasnt-won-over-wom/	
Heather McGhee	3	"Less than 1 percent of 1 percent of the American population has given an amount over $200" to a federal political campaign.	Small, but not that small	/punditfact/statements/2014/apr/03/heather-mcghee/heather-mcghee-less-1-1-give-200-or-more-campaigns/	
Friends of Plum Beach Lighthouse	3	"Voted the best specialty plate in America"	Taking too much license	/rhode-island/statements/2011/jul/03/friends-plum-beach-lighthouse/rhode-island-lighthouse-group-says-its-fundraising/	
Grover Fugate	0	If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped	Water, water everywhere	/rhode-island/statements/2013/sep/28/grover-fugate/ri-coastal-official-says-rising-sea-levels-climate/	
Albert Papp Jr.	1	"Last year -- actually, this year in May -- we saw New Jersey Transit fares rise anywhere from 25 percent to 47 percent."	Years wrong, but fares are higher	/new-jersey/statements/2011/aug/23/albert-papp-jr/rail-transit-advocacy-group-president-claims-nj-tr/	
Bryant Gumbel	2	"A golf course closes somewhere in America every 48 hours."	Shank	/texas/statements/2014/dec/05/bryant-gumbel/bryant-gumbel-says-golf-closes-america-every-48-ho/	
Florida Education Association	4	"Politicians and their corporate lobbyists are trying to take away my right to spend my paycheck how I want."	Proposals change method of paying union dues	/florida/statements/2011/apr/13/florida-education-association/teacher-group-claims-paycheck-protection-bills/	
Florida Education Association	4	The Florida House is "holding the FINAL public hearing" of a controversial education bill in the middle of spring break..."when they hope (teachers) are not watching or listening."	The House isn't hiding anything	/florida/statements/2010/apr/02/florida-education-association/teacher-tenure-hearing-spring-break/	
Brit  Hume	3	"It is senior citizens, not Hispanics, who are the fastest-growing demographic in this country."	No, but they are more reliable voters	/punditfact/statements/2014/nov/13/brit-hume/hume-senior-vote-growing-faster-hispanic/	
Brit  Hume	4	Says President Barack Obama is "sending a much larger (force)" to deal with Ebola "than ISIS is getting."	ISIS getting more than 1,600 troops	/punditfact/statements/2014/sep/23/brit-hume/hume-obama-put-more-force-combatting-ebola-isis/	
Brit  Hume	4	The media "widely overlooked" comments made by former President Bill Clinton that Hillary Clinton had a terrible concussion that took six months to recover from.	Not by the nation's biggest media outlets	/punditfact/statements/2014/may/18/brit-hume/brit-hume-media-overlooked-terrible-concussion-com/	
Menendez Facts	5	"Sen. Bob Menendez voted to enact a new tax on the sale of homes of 3.8%."	Bogus claim wont go away	/new-jersey/statements/2012/sep/17/menendez-facts/bloggers-say-bob-menendez-voted-new-38-tax-sale-ho/	
Bill O'Reilly	0	Tells President Barack Obama that he also asked former President George W. Bush about how he felt about Americans hating him.	Somewhat different wordings, same general point	/truth-o-meter/statements/2011/feb/08/bill-oreilly/bill-oreilly-tells-obama-he-also-asked-bush-about-/	
Bill O'Reilly	0	"A Democratic poll operation shows that Fox News is the most trusted news operation in the country."	Yes, thanks to popularity with Republicans 	/truth-o-meter/statements/2010/feb/10/bill-oreilly/oreilly-claims-poll-shows-fox-news-most-trusted-ne/	
Bill O'Reilly	1	Russia and China "absolutely said clearly" they would not keep economic sanctions on Iran if the United States "walked away from the deal."	Actions louder than words	/punditfact/statements/2015/jul/30/bill-oreilly/bill-oreilly-tells-huckabee-russia-china-said-clea/	
Bill O'Reilly	1	"When I go on Letterman" the "ratings go up."	O'Reilly's appearances are a ratings factor	/punditfact/statements/2014/oct/21/bill-oreilly/bill-oreilly-says-lettermans-ratings-increase-when/	
Bill O'Reilly	1	"More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here."	Using a broad definition, yes	/punditfact/statements/2014/jul/18/bill-oreilly/oreilly-says-over-half-immigrants-3-central-americ/	
Bill O'Reilly	1	Says Nelson Mandela "was a communist."	He was a party member; what that means is less certain	/punditfact/statements/2013/dec/11/bill-oreilly/bill-oreilly-says-nelson-mandela-was-communist/	
Bill O'Reilly	1	"The right-to-work states have much lower level of unemployment than the union states do."	Not 'much lower,' but definitely lower	/truth-o-meter/statements/2011/feb/28/bill-oreilly/bill-oreilly-says-unemployment-lower-right-work-st/	
Bill O'Reilly	2	"I never said I was on the Falkland Islands."	A careful choice of words	/punditfact/statements/2015/mar/03/bill-oreilly/oreilly-i-never-said-i-was-falkland-islands/	
Bill O'Reilly	2	Muslim nations did not "call out" the people who celebrated the 9/11 attacks.	Obscures the broader Muslim condemnation of 9/11	/punditfact/statements/2014/oct/08/bill-oreilly/oreilly-no-muslim-government-called-out-those-who-/	
Bill O'Reilly	2	The majority of people in polls do "not support Obamacare."	Aggregate of polls show more even divide	/truth-o-meter/statements/2011/feb/08/bill-oreilly/majority-people-polls-do-not-support-obamacare/	
Bill O'Reilly	3	"In 2012, 123 African-Americans were shot dead by police. ... Same year, 326 whites were killed by police."	Government's best data is flawed	/punditfact/statements/2014/dec/04/bill-oreilly/bill-oreilly-cites-faulty-data-claim-about-shootin/	
Bill O'Reilly	3	Says he didn't tell viewers that the Obama campaign hid news about the motives behind the attack in Benghazi because Obama was running for re-election.	Dark hints ain't fair and balanced	/punditfact/statements/2014/feb/04/bill-oreilly/oreilly-denies-accusing-wh-political-motives-early/	
Bill O'Reilly	3	Says the federal government hosted a conference and "ordered 250 muffins at 16 bucks a piece."	Muffin-gate unbuttered	/truth-o-meter/statements/2011/oct/04/bill-oreilly/16-muffin-included-coffee-tea-event-space/	
Bill O'Reilly	4	"The 'Denver Post' has actually hired an editor to promote pot."	Take a deep breath, Bill	/punditfact/statements/2013/dec/12/bill-oreilly/oreilly-denver-post-hired-editor-promote-pot/	
Bill O'Reilly	4	Since 1965, the United States has spent "untold trillions" yet the poverty rate hasnt budged.	Actually, the poverty rate has fallen, and plummeted for some groups	/truth-o-meter/statements/2011/jul/29/bill-oreilly/bill-oreilly-says-poverty-hasnt-budged-1965-despit/	
Bill O'Reilly	4	"Attorney General Eric Holder is involved in the dismissal of the criminal charges" against the New Black Panther Party for voter intimidation	Criminal case? It was a different administration	/truth-o-meter/statements/2010/jul/23/bill-oreilly/bill-oreilly-blames-obama-administration-not-pursu/	
Bill O'Reilly	4	When White House communications director Anita Dunn said that Mao Tse-tung was "one of her favorite philosophers, only Fox News picked that up."	Lots of media outlets covered it, though rarely as straight news	/truth-o-meter/statements/2009/oct/27/bill-oreilly/oreilly-accuses-media-not-following-foxs-lead-anit/	
Bill O'Reilly	4	Says he didn't call Dr. George Tiller a baby killer, as liberal groups charge, but was merely reporting what "some prolifers branded him."	O'Reilly's statements indicate it was his opinion, not that of others	/truth-o-meter/statements/2009/jun/05/bill-oreilly/bill-oreilly-called-george-tiller-baby-killer/	
Bill O'Reilly	5	"We researched to find out if anybody on Fox News had ever said you're going to jail if you don't buy health insurance. Nobody's ever said it."	Apparently, the research wasn't thorough enough	/truth-o-meter/statements/2010/apr/27/bill-oreilly/oreilly-says-no-one-fox-raised-issue-jail-time-not/	
Clay Aiken	2	Says Rep. Renee Ellmers voted for the government shutdown 21 times.	General tune is right; vote number is not	/truth-o-meter/statements/2014/feb/12/clay-aiken/clay-aiken-says-gop-legislator-voted-21-times-shut/	
Dennis Hastert	2	"There never really was a 'Hastert Rule.' "	A phrase can take on a life of its own	/punditfact/statements/2013/dec/19/dennis-hastert/hastert-there-was-no-hastert-rule/	
County Line	2	Says that under the new healthcare law, full- and part-time workers will be required to buy insurance costing $375 to $1,000 a month, starting in 2014.	Off two years, missing caveats	/texas/statements/2012/nov/18/county-line/county-line-restaurant-chain-says-full-and-part-ti/	
Texans for America's Future PAC	3	"Thanks to (Rick) Perry's bad budgeting, the (Texas) highway department has to convert some modern paved state roads back to gravel."	Perry advocated greater road spending	/texas/statements/2013/sep/24/texans-americas-future-pac/texas-governors-bad-budgeting-not-blame-announced-/	
John Huppenthal 	4	Under the new Arizona immigration law, police can't stop someone to check their immigration status unless they think they see something illegal.	Legal experts see some pretty big loopholes	/truth-o-meter/statements/2010/apr/28/john-huppenthal/arizona-immigration-law-requires-police-see-crime-/	
Barney Frank	2	The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.	UPDATE: Numbers are right, but some context missing	/truth-o-meter/statements/2010/aug/13/barney-frank/barney-frank-says-us-share-global-defense-spending/	
Barney Frank	3	"Mr. Warren compared same-sex couples to incest."	Warren on gay marriage and incest	/truth-o-meter/statements/2009/jan/13/barney-frank/warren-gay-marriage-and-incest/	
Mitch McConnell	0	"More women are graduating from college now than men."	True since the early 1990s	/truth-o-meter/statements/2014/jul/18/mitch-mcconnell/mitch-mcconnell-says-more-women-graduate-college-m/	
Mitch McConnell	0	The Senate health care bill does not contain limits on medical malpractice lawsuits.	He's right: No tort reform here	/truth-o-meter/statements/2009/dec/02/mitch-mcconnell/mcconnell-gets-it-right-medical-malpractice-reform/	
Mitch McConnell	0	To give the proposed economic stimulus plan some perspective, "if you started the day Jesus Christ was born and spent $1 million every day since then, you still wouldnt have spent $1 trillion."	That's a lot of loaves and fishes	/truth-o-meter/statements/2009/feb/03/mitch-mcconnell/stimulus-plan-more-million-day-jesus-christ-was-bo/	
Mitch McConnell	1	Says Secretary of State John Kerry, "when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."	Reasonably accurate summation	/truth-o-meter/statements/2015/mar/16/mitch-mcconnell/mitch-mcconnell-john-kerry-visited-nicaragua-1980s/	
Mitch McConnell	1	Raising the minimum wage to $10.10 an hour "will destroy between half a million and one million jobs."	Singles out high end of estimated outcomes	/truth-o-meter/statements/2014/oct/14/mitch-mcconnell/mitch-mcconnell-says-minimum-wage-hike-would-destr/	
Mitch McConnell	1	"The minimum wage is mostly an entry-level wage for young people."	Most are under 30	/truth-o-meter/statements/2014/jan/26/mitch-mcconnell/mitch-mcconnell-says-minimum-wage-young-people-ent/	
Mitch McConnell	1	Says Health and Human Services Secretary Kathleen Sebelius told insurance companies "they couldn't inform their policyholders of what they thought the impact of Obamacare would be on them."	Updated with new ruling: Second letter threatened regulatory action	/truth-o-meter/statements/2013/may/28/mitch-mcconnell/mitch-mcconnell-says-hhs-put-gag-order-insurers-ab/	
Mitch McConnell	1	"$100,000 in  stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse."	Brazilian cuisine with some help from taxpayers	/truth-o-meter/statements/2010/feb/19/mitch-mcconnell/mcconnell-says-100000-stimulus-funds-were-used-mar/	
Mitch McConnell	1	If Obama's economic plan creates 600,000 new government jobs, "that's about the size of the post office work force."	(Insert "going postal" joke here)	/truth-o-meter/statements/2009/jan/05/mitch-mcconnell/postal-service-employs-just-over-600000/	
Mitch McConnell	2	Says Alison Lundergan Grimes "supports Obamacare, which cuts $700 billion from seniors Medicare."	A once-popular claim back in rotation	/truth-o-meter/statements/2014/jul/10/mitch-mcconnell/mcconnell-opponent-alison-lundergan-grimes-support/	
Mitch McConnell	2	"The president has had 1,540 of his nominations confirmed, only four defeated."	Uncounted losses, overrated wins	/truth-o-meter/statements/2013/jul/22/mitch-mcconnell/obama-only-four-nominations-defeated-mcconnell-say/	
Mitch McConnell	2	The stimulus includes  "$219,000 to study  the sex lives of female college freshmen."	More New England Journal of Medicine than Penthouse	/truth-o-meter/statements/2010/feb/19/mitch-mcconnell/mcconnell-claims-stimulus-includes-219000-study-se/	
Mitch McConnell	2	"The Department of Justice, under the Obama administration, disagrees with the decision" Judge Sotomayor made in the Ricci vs. DeStefano case.	DOJ wants a do-over	/truth-o-meter/statements/2009/jun/01/mitch-mcconnell/mcconnell-claims-department-justice-disagreed-soto/	
Mitch McConnell	3	The climate-change agreement between the United States and China "requires the Chinese to do nothing at all for 16 years."	In the real world, they'll need to act quicker than that	/truth-o-meter/statements/2014/nov/19/mitch-mcconnell/mitch-mcconnell-says-us-china-climate-deal-means-c/	
Mitch McConnell	3	Says he "voted for even stronger protections (in the Violence Against Women Act)than Obama's agenda will allow."	For some groups it was weaker	/truth-o-meter/statements/2014/aug/13/mitch-mcconnell/mitch-mcconnell-says-he-supported-stronger-violenc/	
Mitch McConnell	3	Says a new report shows the "devastating tax hikes (in the health care law) will have on middle-class Kentuckians."	Not now, not in 2039	/truth-o-meter/statements/2014/jul/23/mitch-mcconnell/mitch-mcconnell-claims-devastating-tax-increase-mi/	
Mitch McConnell	3	"The presidents own advisers have said theres a war on coal."	More like a war on words	/truth-o-meter/statements/2013/sep/23/mitch-mcconnell/mcconnell-links-obama-war-coal/	
Mitch McConnell	3	Says Matt Bevin has repeatedly failed to pay his taxes.	Our audit tells a different story	/truth-o-meter/statements/2013/aug/14/mitch-mcconnell/mitch-mcconnell-tags-kentucky-primary-opponent-tax/	
Mitch McConnell	3	A public option for health care would end private insurance "because the private insurance people will not be able to compete with a government option."	Some health experts dispute that	/truth-o-meter/statements/2009/may/19/mitch-mcconnell/some-private-health-insurance-can-surviv/	
Mitch McConnell	4	A recent economic uptick appears to "coincide" with "the expectation of a new Republican Congress."	The timelines don't match up	/truth-o-meter/statements/2015/jan/08/mitch-mcconnell/mitch-mcconnell-says-economic-uptick-coincides-exp/	
Mitch McConnell	4	Says Barack Obama is getting his nominees confirmed "faster than President (George W.) Bush was at the same time in his second term."	Actually, the opposite	/truth-o-meter/statements/2013/jul/18/mitch-mcconnell/barack-obama-getting-his-nominees-confirmed-faster/	
Mitch McConnell	4	"A major part" of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman "was essentially written by BP."	Now-reviled company did confer, but no evidence they wrote big portions of bill	/truth-o-meter/statements/2010/jun/14/mitch-mcconnell/mcconnell-says-kerry-lieberman-climate-bill-essent/	
Mitch McConnell	4	New financial regulation "actually guarantees future bailouts of Wall Street banks."	Actually, bill seeks to avoid them	/truth-o-meter/statements/2010/apr/20/mitch-mcconnell/bank-bailouts-not-bill-liquidation/	
Mitch McConnell	4	"In just one month, the Democrats have spent more than President Bush spent in seven years on the war in Iraq, the war in Afghanistan and Hurricane Katrina combined."	McConnell vs. math  math wins	/truth-o-meter/statements/2009/mar/03/mitch-mcconnell/mcconnell-v-math-math-wins/	
Michael Bennet	0	Ken Buck wants to "outlaw abortion, even in cases of rape or incest."	Buck hasn't backed off this one	/truth-o-meter/statements/2010/oct/18/michael-bennet/ken-buck-opposes-abortion-including-cases-rape-or-/	
Michael Bennet	2	"Buck wants to privatize Social Security."	Definitions are everything	/truth-o-meter/statements/2010/sep/02/michael-bennet/bennet-says-ken-buck-wants-privatize-social-securi/	
Stand For Children Tennessee	0	Says that "Tennessee law requires that schools receive half of proceeds -- $31 million per year" -- from a half-cent increase in the Shelby County sales tax.	State law is clear	/tennessee/statements/2012/nov/04/stand-children-tennessee/schools-must-get-half-proceeds-county-sales-tax-in/	
Lone Star Project	1	Says state's expected "increase in federal political clout  is almost entirely due to  the growth of the African American and  Hispanic populations in Texas in  virtually every region of the state.	Latino Texans driving power surge	/texas/statements/2010/may/17/lone-star-project/democratic-group-credits-hispanic-and-african-amer/	
Lone Star Project	2	Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill "that attempts to distinguish between forcible rape and other sexual assaults."	Bill targeted abortion funding	/texas/statements/2012/sep/06/lone-star-project/pac-says-todd-akin-and-paul-ryan-all-texas-republi/	
Lone Star Project	2	"(Pete) Sessions has held at least two fundraisers at adult-themed clubs and made no apologies."	Only one for sure	/texas/statements/2010/apr/13/lone-star-project/lone-star-project-says-us-rep-pete-sessions-held-t/	
Lone Star Project	4	Says Greg Abbott "converted over $1 million in federal grant money intended for use to prosecute online sexual predators and other cyber crimes and instead used it to harass and prosecute senior citizens who were assisting other senior citizens in applying for mail-in ballots."	More than 15 times less	/texas/statements/2013/aug/02/lone-star-project/democratic-group-says-abbott-misspent-1-million-pl/	
Emma Watson	2	Based on current trends, "15.5 million girls will be married in the next 16 years as children."	It's both worse and better	/punditfact/statements/2014/sep/29/emma-watson/watson-155-million-women-will-marry-children/	
Mitt Romney	0	Says Obama broke his promise to offer a comprehensive immigration bill in his first year.	Immigration bill was a no-show	/truth-o-meter/statements/2012/oct/16/mitt-romney/romney-says-obama-failed-offer-immigration-bill-he/	
Mitt Romney	0	Says Obama promised to cut the deficit in half.	See YouTube video, 2009	/truth-o-meter/statements/2012/oct/04/mitt-romney/romney-says-obama-promised-cut-deficit-half/	
Mitt Romney	0	"Forty-seven percent of Americans pay no income tax."	He cites an accurate stat	/truth-o-meter/statements/2012/sep/18/mitt-romney/romney-says-47-percent-americans-pay-no-income-tax/	
Mitt Romney	0	At Bain Capital, "we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."	Company joined first lady's Let's Move campaign	/truth-o-meter/statements/2012/aug/31/mitt-romney/mitt-romney-says-michelle-obama-praised-bain-compa/	
Mitt Romney	0	In his first TV interview as president, Obama said we "should talk to Iran."	He said it	/truth-o-meter/statements/2012/aug/31/mitt-romney/obama-first-interview-talk-iran/	
Mitt Romney	0	"Half the kids coming out of college this year  can't find a job, or a job that's consistent with a college degree."	Rough time for college grads	/new-hampshire/statements/2012/aug/27/mitt-romney/mitt-romney-right-getting-job-right-out-college-ca/	
Mitt Romney	0	"In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare."	In a speech and an ad	/truth-o-meter/statements/2012/aug/26/mitt-romney/romney-ad-says-obama-attacked-mccain-medicare-08/	
Mitt Romney	0	"As president, Barack Obama has never visited Israel."	Number of trips: zero	/truth-o-meter/statements/2012/aug/07/mitt-romney/romney-says-obama-has-not-visited-israel-president/	
Mitt Romney	0	Says "Rick Santorum supported (Arlen) Specter over conservative candidates twice."	It happened, however enthusiastically	/truth-o-meter/statements/2012/feb/29/mitt-romney/santorum-endorsed-specter-twice/	
Mitt Romney	0	"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent."	Not the usual measure, but he frames it right	/truth-o-meter/statements/2012/feb/08/mitt-romney/mitt-romney-says-broader-measure-national-unemploy/	
Mitt Romney	0	Says Newt Gingrichs contract was with "the lobbyists at Freddie Mac."	Lobbyists direct "strategic advice"	/florida/statements/2012/jan/24/mitt-romney/mitt-romney-says-newt-gingrichs-contract-was-fredd/	
Mitt Romney	0	Says he followed state law and the precedent of other Massachusetts governors when he erased electronic communications as he left office.	Deleting e-mails is standard practice for Mass. governors	/truth-o-meter/statements/2011/dec/02/mitt-romney/romney-says-he-followed-law-and-precedent-taking-h/	
Mitt Romney	0	"The people in Massachusetts like (the state health care plan) by about a 3-1 margin."	This claim's in perfect health	/truth-o-meter/statements/2011/oct/18/mitt-romney/mitt-romney-says-massachusetts-residents-favor-sta/	
Mitt Romney	0	"In writing his book, Gov. Perry pointed out that  by any measure Social Security has been a failure."	Tough talk straight from Perry's book	/truth-o-meter/statements/2011/sep/12/mitt-romney/mitt-romney-says-rick-perry-believes-social-securi/	
Mitt Romney	0	"In the month of January, Canada created more new jobs than we did."	True for January; for three prior months, the U.S. created many more	/truth-o-meter/statements/2011/feb/11/mitt-romney/mitt-romney-tells-cpac-canada-created-more-jobs-ja/	
Mitt Romney	0	"The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner."	Correct -- we spend a lot more and die a bit sooner	/truth-o-meter/statements/2010/mar/03/mitt-romney/romney-says-americans-pay-more-health-care-die-soo/	
Mitt Romney	0	John McCain has said the economy is "not his strong suit."	McCain said it	/truth-o-meter/statements/2008/feb/04/mitt-romney/mccain-said-it/	
Mitt Romney	0	"Two-thirds of our economy is a consumer economy."	Americans consume a lot 	/truth-o-meter/statements/2008/jan/30/mitt-romney/americans-consume-a-lot-/	
Mitt Romney	0	"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."	McCain switched tax vote	/truth-o-meter/statements/2008/jan/27/mitt-romney/mccain-switched-tax-vote/	
Mitt Romney	0	"(My dad) used to campaign against the gas-guzzling dinosaurs."	Dad was a dinosaur hunter	/truth-o-meter/statements/2008/jan/15/mitt-romney/dad-was-a-dinosaur-hunter/	
Mitt Romney	0	"Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent."	Yes, McCain switched	/truth-o-meter/statements/2008/jan/03/mitt-romney/yes-mccain-switched/	
Mitt Romney	0	Former business partner Robert Gay says: "The man who helped save my daughter was Mitt Romney."	Romney did 'help save' teen	/truth-o-meter/statements/2007/dec/28/mitt-romney/romney-did-help-save-teen/	
Mitt Romney	0	Huckabee "granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined."	Yes, Huckabee pardoned many	/truth-o-meter/statements/2007/dec/28/mitt-romney/yes-huckabee-pardoned-many/	
Mitt Romney	0	Romney said "'No' to in-state tuition" for illegal immigrants.	Yes, Romney said no.	/truth-o-meter/statements/2007/dec/05/mitt-romney/yes-romney-said-no/	
Mitt Romney	0	"In the African-American community today, 68 percent of kids born are born out of wedlock."	Astouding number, but it's right	/truth-o-meter/statements/2007/nov/28/mitt-romney/astouding-number-but-its-right/	
Mitt Romney	0	"The mayor said  'if you happen to be in this country in an undocumented status . . . then we welcome you here.  We want you here.  We'll protect you here.' "	Giuliani was welcoming to immigrants	/truth-o-meter/statements/2007/nov/28/mitt-romney/giuliani-was-welcoming-to-immigrants/	
Mitt Romney	0	"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent."	Overall violence declined under Romney	/truth-o-meter/statements/2007/nov/26/mitt-romney/overall-violence-declined-under-romney/	
Mitt Romney	0	"We had a No Child Left Behind  a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools."	Mass. schools did improve	/truth-o-meter/statements/2007/oct/30/mitt-romney/mass-schools-did-improve/	
Mitt Romney	0	"I don't think that Rudy or Fred or John McCain support the marriage amendment."	He's right that others have hedged 	/truth-o-meter/statements/2007/oct/05/mitt-romney/hes-right-that-others-have-hedged-/	
Mitt Romney	0	"Senator McCain voted against the Bush tax cuts. Now he's for them."	McCain switched on tax cuts	/truth-o-meter/statements/2007/sep/05/mitt-romney/mccain-switched-on-tax-cuts/	
Mitt Romney	1	"Health insurance is more expensive in Massachusetts than anywhere else in the country."	Only Alaska is higher	/truth-o-meter/statements/2013/nov/03/mitt-romney/mitt-romney-says-health-insurance-more-expensive-m/	
Mitt Romney	1	Rhode Island has taken its federal Medicaid funding and shown it can run the program more cost-effectively than the federal government.	Feds didn't give up control	/rhode-island/statements/2012/oct/28/mitt-romney/mitt-romney-says-rhode-island-demonstrated-it-can-/	
Mitt Romney	1	"6,400 Ohioans ... lost manufacturing jobs in the month of September."	Losses amount to less than 1 percent of manufacturing jobs	/ohio/statements/2012/oct/26/mitt-romney/mitt-romney-camp-says-6400-ohioans-lost-manufactur/	
Mitt Romney	1	"Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future."	A plausible path	/truth-o-meter/statements/2012/oct/23/mitt-romney/mitt-romney-says-pakistan-path-overtake-uk-nuclear/	
Mitt Romney	1	"I went to the Olympics that was out of balance, and we got it on balance."	Off-budget, he got a lot of federal help	/truth-o-meter/statements/2012/oct/22/mitt-romney/mitt-romney-says-he-balanced-budget-salt-lake-city/	
Mitt Romney	1	"The president said he was going to create daylight between ourselves and Israel."	An unconfirmed quote	/truth-o-meter/statements/2012/oct/22/mitt-romney/romney-says-obama-wants-daylight-us-israel-relatio/	
Mitt Romney	1	Says a university survey concluded his Massachusetts administration "had more women in senior leadership positions than any other state in America."	Highest percentage in the nation  his first year	/truth-o-meter/statements/2012/oct/22/mitt-romney/romney-says-survey-found-massachusetts-had-more-wo/	
Mitt Romney	1	Says Barack Obama has pension investments that include Chinese firms, and "investments through a Caymans trust."	Didnt make them, but his pension fund did	/wisconsin/statements/2012/oct/17/mitt-romney/romney-says-obama-also-has-investments-chinese-com/	
Mitt Romney	1	Massachusetts schools "are ranked No. 1 of all 50 states."	Different ways to count, but MA is up there	/truth-o-meter/statements/2012/oct/05/mitt-romney/mitt-romney-said-massachusetts-schools-are-ranked-/	
Mitt Romney	1	"Were now spending 42 percent of our economy on government."	It's about right, but a lot is checks to individuals	/truth-o-meter/statements/2012/oct/03/mitt-romney/mitt-romney-says-us-now-spending-42-percent-our-ec/	
Mitt Romney	1	Says Barack Obama's comments indicate he "believes in redistribution" of wealth.	The tape says a little more	/georgia/statements/2012/sep/20/mitt-romney/romney-goes-tape-attack-obama/	
Mitt Romney	1	"Fifty percent of kids coming out of school can't get a job."	50% includes underemployed, not just jobless	/truth-o-meter/statements/2012/sep/18/mitt-romney/mitt-romney-says-50-percent-kids-coming-out-school/	
Mitt Romney	1	The Supreme Court said the individual mandate "is a tax. So it's a tax."	Some legal scholars find fault, but for the layperson, it's close	/truth-o-meter/statements/2012/jul/05/mitt-romney/mitt-romney-says-health-care-laws-penalty-tax/	
Mitt Romney	1	There are "49 different federal job training programs that report to eight agencies."	GAO report says similar	/truth-o-meter/statements/2012/may/16/mitt-romney/mitt-romney-said-there-are-49-different-federal-jo/	
Mitt Romney	1	"President Obama's suggested reduction in spending for next year: $0."	Increase comes from mandatory programs	/truth-o-meter/statements/2012/apr/20/mitt-romney/mitt-romney-says-barack-obamas-suggested-reduction/	
Mitt Romney	1	Says Newt Gingrich said "Spanish is the language of the ghetto."	Gingrich admitted he could have used different words	/florida/statements/2012/jan/25/mitt-romney/spanish-language-ad-says-newt-gingrich-said-spanis/	
Mitt Romney	1	"Our income, our GDP per capita, is almost 50 percent higher than (it is for) the average European."	He's right, but uses what may not be the best measurement	/truth-o-meter/statements/2012/jan/06/mitt-romney/mitt-romney-says-us-income-almost-50-percent-highe/	
Mitt Romney	1	Says he "helped save" the Olympic games.	He was key in fixing mess in Salt Lake 	/truth-o-meter/statements/2012/jan/06/mitt-romney/how-important-was-romney-fixing-troubled-salt-lake/	
Mitt Romney	1	Newt Gingrichs immigration plan offers "a new doorway to amnesty."	If amnesty means a path to legalization	/truth-o-meter/statements/2011/dec/02/mitt-romney/does-newt-gingrich-support-amnesty-mitt-romney-say/	
Mitt Romney	1	Massachusetts has "less than 1 percent of our kids that are uninsured. You (Gov. Perry) have a million kids uninsured in Texas."	Romney's numbers are close	/truth-o-meter/statements/2011/oct/12/mitt-romney/mitt-romney-raps-number-uninsured-kids-texas-touts/	
Mitt Romney	1	Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years.	A little off about very few beneficiaries	/texas/statements/2011/sep/28/mitt-romney/mitt-romney-says-says-illegal-immigrants-get-10000/	
Mitt Romney	1	Says that in his book, Rick Perry said that "Social Security is unconstitutional."	His 2010 book isn't explicit, but strongly suggests it	/truth-o-meter/statements/2011/sep/12/mitt-romney/mitt-romney-says-rick-perry-believes-social-2/	
