Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Dave Yost	1	The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.	Last year, yes, but maybe not every year	/ohio/statements/2011/oct/19/dave-yost/dave-yost-says-sb-5-would-save-columbus-41m-year-p/
Dave Yost	3	When Peppers tax was finally voted down, Pepper laid off cops and closed jails and let criminals run free in the streets.	He forgets Pepper tried to fix the problem 	/ohio/statements/2010/sep/03/dave-yost/republican-dave-yost-attacks-democratic-david-pepp/
Committee for Florida's Education	5	Dan Gelber: On the record against scholarships to help our needy children attend Jewish private schools.	"Toxic" to Jewish education? Oy vey!	/florida/statements/2010/oct/29/committee-florida-education/group-claims-gelber-against-scholarships-jewish-sc/
Mark S. Zaccaria	4	Langevin has been the  most reliable vote for Speaker Pelosi.	Others are more reliable	/rhode-island/statements/2010/jun/27/mark-zaccaria/zaccaria-says-langevin-has-been-most-reliable-vote/
BookerFail	3	Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Booker's Newark graduate.	Failing grade for omitting context	/truth-o-meter/statements/2013/aug/27/bookerfail/super-pac-criticizes-booker-low-newark-graduation-/
Bill  Janis	3	The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.	Big-wigs and brass backed this treaty	/virginia/statements/2011/feb/02/bill-janis/bill-janis-says-new-start-treaty-was-passed-despit/
Brett Hulsey	4	Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.	Actually the numbers show the reverse.	/wisconsin/statements/2014/jan/31/brett-hulsey/rep-brett-hulsey-says-wisconsin-has-created-fewer-/
Robert McDonald	4	Nine hundred people have been fired since I became secretary (of Veterans Affairs). Weve got 60 people that we fired who have manipulated wait times.	A whopper from McDonald	/truth-o-meter/statements/2015/feb/20/robert-mcdonald/va-secretary-claims-900-firings-60-related-wait-ti/
Tom Perriello	2	Mr. Hurt would re-open that darn (Medicare) doughnut hole.	Connecting the dots, Perriello seems right	/virginia/statements/2010/oct/29/tom-perriello/tom-perriello-says-robert-hurt-wants-reopen-medic/
Tom Perriello	4	Senator Robert Hurt voted for a bill thats raised your electric rates seven times.	Deregulation was not a factor in raising rates	/virginia/statements/2010/oct/30/tom-perriello/tom-perriello-says-robert-hurt-voted-bill-raised-e/
Chris Larson	4	Over the next two years, this $1.8 billion deficit will cost individual Wisconsinites $300 each, or $1,200 for families of four.	No way to know what residents will have to pay	/wisconsin/statements/2014/sep/11/chris-larson/projected-state-budget-shortfall-will-cost-wiscons/
Michelle Obama	0	In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.	It's not prohibited in eight states and D.C.	/truth-o-meter/statements/2009/sep/21/michelle-obama/michelle-obama-claims-domestic-violence-counts-pre/
Michelle Obama	4	The unemployment rate for young people is down from a 10.6 percent high in 2009 to 2.6 percent today.	Down, but not that low	/wisconsin/statements/2014/oct/12/michelle-obama/unemployment-young-people-down-26-michelle-obama-s/
Michelle Obama	4	Only 2 percent of public high schools in the country offer PE classes.	She forgot to add an important word: "daily"	/truth-o-meter/statements/2012/may/30/michelle-obama/michelle-obama-understates-percent-high-schools-ph/
Linda Finn	1	By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.	Supported by old data, one robocall poll	/rhode-island/statements/2014/apr/06/linda-finn/rhode-island-legislator-linda-finn-says-large-majo/
Linda Finn	1	Rhode Island could tell you who has a camper, but we couldn't figure out who has a gun.	On target	/rhode-island/statements/2013/mar/07/linda-finn/state-rep-linda-finn-says-rhode-island-keeps-regis/
Thomas Melsheimer	3	Across the country, more than half of the U.S.  attorney seats remain without a prosecutor chosen by Obama.	Count is close, reflecting partisan tussle	/texas/statements/2010/jun/10/thomas-melsheimer/dallas-lawyers-say-cornyn-among-republicans-keepin/
Victoria Jackson	5	A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.	Only if they fight with tongue depressors	/truth-o-meter/statements/2011/jul/22/victoria-jackson/victoria-jackson-column-claims-health-care-law-giv/
Courtney Combs	5	Phoenix, Ariz., is the No. 2 kidnapping capital of the world.	Won't this claim ever go away?	/ohio/statements/2010/aug/16/courtney-combs/state-rep-courtney-combs-says-phoenix-no-2-kidnapp/
Dave Schwartz	1	Twenty-four percent of doctors in Virginia currently dont accept new Medicaid patients because the reimbursement rates are so low.	Generally accurate	/virginia/statements/2013/jul/12/dave-schwartz/dave-schwartz-says-24-percent-virginia-doctors-won/
Adam Putnam	1	All the money the Department of Citrus has is paid for by the citrus growers. You don't save dollars by eliminating the Department of Citrus.	Growers tax themselves to regulate their industry	/florida/statements/2011/feb/04/adam-putnam/adam-putnam-says-citrus-department-doesnt-use-stat/
Adam Putnam	1	We've got to find 2 billion gallons (of water per day) between now and 2025.	Yes, though the state has already 'found' some of it	/florida/statements/2010/sep/10/adam-putnam/adam-putnam-sounds-alarm-looming-water-crisis/
Tony Perkins	2	We're already seeing bakers and florists and photographers forced to participate in same-sex marriages under the threat of law and in some cases even jail.	Let them eat cake ... or not?	/florida/statements/2013/jul/08/tony-perkins/wedding-vendors-have-been-forced-participate-same-/
Tony Perkins	4	We know from the social science that children do best with a mom and a dad.	Social science without the science	/punditfact/statements/2014/oct/12/tony-perkins/tony-perkins-we-know-social-science-children-do-be/
Andy Brown	1	Travis County now has the highest urban county tax rate in Texas.	Tip-top for nearly 20 years	/texas/statements/2014/feb/26/andy-brown/travis-countys-tax-rate-ranks-among-very-highest-a/
Michael McAuliff	1	Tommy Thompson wanted to implant data chips in humans.	Sure, if they were willing	/wisconsin/statements/2011/may/22/michael-mc-auliff/huffington-post-reporter-says-possible-gop-senate-/
Thomas Lindsay	0	Approximately 43 percent of all college grades today are A's, an increase of 28 percentage points since 1960.	Inflation originated in Vietnam war years	/texas/statements/2013/jan/31/thomas-lindsay/thomas-lindsay-says-43-percent-college-grades-are-/
Senate Republican Conference	2	Up to 80 percent of small businesses will be forced to give up their current plans due to new Obamacare regulations.	Forced? Much more choice involved	/truth-o-meter/statements/2012/mar/27/senate-republican-conference/senate-republican-web-video-says-obamas-health-car/
Log Cabin Republicans	1	Mitt Romney opposed the gun lobby, even Ronald Reagan.	Romney supported gun control in previous runs	/truth-o-meter/statements/2007/oct/24/log-cabin-republicans/romney-supported-gun-control-in-previous-runs/
Kathleen Clyde	0	Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.	Buckeye State's performs at less than half the national average	/ohio/statements/2012/mar/13/kathleen-clyde/kathleen-clyde-says-ohio-not-compliance-federal-vo/
Kathleen Clyde	0	'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.	She's not wrong	/ohio/statements/2012/feb/20/kathleen-clyde/state-rep-kathleen-clyde-says-new-election-law-doe/
Kathleen Clyde	0	Ohio has one of the highest provisional ballot rates in the country, and many of them go uncounted each election.	Only three states rejected more in 2010	/ohio/statements/2012/feb/07/kathleen-clyde/kathleen-clyde-says-ohio-among-leaders-provisional/
Liz Cheney	4	The numbers of people that support Obamacare and like it have been steadily dropping.	Not seeing steady drops	/punditfact/statements/2014/apr/06/liz-cheney/liz-cheney-people-support-obamacare-have-been-stea/
Ron Kind	2	Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years.	Mostly right on stats, mostly wrong on credit	/wisconsin/statements/2013/aug/18/ron-kind/defending-obamacare-rep-ron-kind-says-increases-he/
Ron Kind	2	Before Medicare, only 51 percent of Americans 65 and older had health care coverage and nearly 30 percent lived below the poverty line. Today, thanks to Medicare ... nearly all seniors have coverage and 75 percent fewer struggle in poverty.	Right on the numbers, wrong on the credit	/wisconsin/statements/2011/aug/25/ron-kind/us-rep-ron-kind-says-thanks-medicare-75-fewer-seni/
Tom Cotton	5	President Obama hijacked the farm bill (and) turned it into a food stamp bill.	It's been this way since 1973	/truth-o-meter/statements/2014/sep/19/tom-cotton/tom-cotton-incorrectly-says-obama-turned-farm-bill/
Jack Kingston	0	Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons.	Rankings agree	/georgia/statements/2013/jan/02/jack-kingston/kingston-makes-issue-connecticuts-gun-control-laws/
Jack Kingston	1	In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills.	Tough turf for spending bills	/georgia/statements/2013/jun/21/jack-kingston/senate-record-appropriations-draws-kingstons-scrut/
Jack Kingston	2	There are still more people uninsured today than when Obama was elected president.	Numbers fairly close	/georgia/statements/2014/mar/31/jack-kingston/kingstons-claim-about-number-uninsured-has-some-me/
Jack Kingston	3	Perdue mismanaged Pillowtex, and nearly 8,000 people got laid off.	Firm's troubles began before Perdue	/georgia/statements/2014/jul/16/jack-kingston/pillowtex-accusations-overstate-point/
David Dooley	0	We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.	When a $100,000 salary is considered low.	/rhode-island/statements/2012/may/03/david-dooley/university-rhode-island-president-david-dooley-say/
Tom Graves	0	The government does not need a warrant to read your old emails.	Claim deserves to remain in your inbox	/georgia/statements/2013/sep/10/tom-graves/your-old-emails-could-be-government-inbox-now/
Tom Graves	0	Despite having their budget increased by over 40 percent since 2009  pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.	Huge increase in pending claims	/georgia/statements/2013/apr/30/tom-graves/backlog-veterans-benefits-draws-scrutiny/
Tom Graves	0	The federal government owns tens of thousands of properties that are vacant or underused.	There's lots and lots of 'em	/georgia/statements/2012/apr/20/tom-graves/graves-tens-thousands-federal-properties-are-vacan/
Tom Graves	0	Two days of interest we pay to China is enough to buy one joint strike fighter [jet].	No turbulence on this claim.	/georgia/statements/2011/sep/09/tom-graves/does-jet-claim-fly-straight/
Tom Graves	0	America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.	Graves math on taxes proves true	/georgia/statements/2011/apr/20/tom-graves/tax-burden-overwhelmingly-wealthy-congressman-says/
Tom Graves	2	More Americans believe the moon landing was fake than believe Obamacare is affordable.	Many Americans think Obamacare will cost more	/georgia/statements/2014/jan/03/tom-graves/graves-compares-obamacare-affordability-belief-fak/
Tom Graves	3	I've traveled the country advocating for the FairTax ...	No headliner, just a cameo	/georgia/statements/2010/jun/04/tom-graves/linder-says-graves-played-minor-role-fairtax/
Michael Tyler	3	[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia.	Washington, D.C.'s transit system has the same problem	/georgia/statements/2010/aug/10/michael-tyler/marta-chairman-said-system-receives-no-significant/
Pat Toomey	1	We have the highest (corporate tax rates) in the world right now.	Sayonara, Japan. We're No. 1!	/truth-o-meter/statements/2011/jan/03/pat-toomey/pat-toomey-says-us-has-highest-corporate-tax-rates/
Pat Toomey	3	Joe Sestak ... even wants to bring back the death tax, letting the IRS take half of your savings when you die.	Tax would hit a tiny fraction of the ad's viewers	/truth-o-meter/statements/2010/aug/24/pat-toomey/pat-toomey-hits-joe-sestak-estate-tax-leaves-out-s/
Oregon 2014	0	In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.	Court said so!	/oregon/statements/2013/sep/24/oregon-2014/does-oregon-health-plan-pay-about-4000-abortions-y/
Carolyn Medeiros	3	There's a tax credit of $2,400 to bond [former inmates] that an employer would get for hiring a convicted felon. There's a federal bonding program -- you can get $5,000 to $25,000 in federal money to hire a convicted felon. And there's federal grants for felons to set up their own small businesses.	Claim needs rehabilitation	/rhode-island/statements/2013/mar/03/carolyn-medeiros/leader-alliance-safe-communities-says-employers-ca/
Mike Hashimoto	0	Public display of a long rifle is perfectly legal in Texas.	Just don't alarm	/texas/statements/2014/jun/05/mike-hashimoto/texas-law-effectively-permits-long-rifles-be-toted/
Rob Woodall	0	Forty-seven percent of (members of Congress) are millionaires.	No disputing this 47 percent claim.	/georgia/statements/2013/feb/04/rob-woodall/congress-millionaires-club/
Rob Woodall	2	Do you know those former Soviet Bloc countries have all moved to flat taxes?	Tax claim needs a refund	/georgia/statements/2013/apr/29/rob-woodall/rep-overstates-popularity-flat-tax-ex-soviet-state/
Democratic Governors Association	5	Texas Governor Rick Perrys voter ID law is a blatant effort to defeat Wendy Davis by disenfranchising tens of thousands of women voters.	Not at issue in 2011 legislative session	/texas/statements/2013/oct/31/democratic-governors-association/no-evidence-behind-claim-2011-voter-id-law-came-be/
Ken Cuccinelli	0	[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.	Polar bears should remain nervous.	/virginia/statements/2011/jan/28/ken-cuccinelli/attorney-general-ken-cuccinelli-says-epa-auto-emis/
Ken Cuccinelli	2	Ive never supported legislation that invades peoples choices about contraception.	But has backed bills that open legal challenges to the pill	/virginia/statements/2013/sep/16/ken-cuccinelli/cuccinelli-says-he-never-backed-legislation-limits/
Ken Cuccinelli	4	Theres only one candidate under investigation -- Terry McAuliffe.	Big accusation lacks proof	/virginia/statements/2013/sep/03/ken-cuccinelli/cuccinelli-says-mcauliffe-under-investigation/
Ken Cuccinelli	4	Every (personhood) bill Ive ever support has either had language that says were conforming to the constitutional rulings of the Supreme Court or something to that effect.	Not always	/virginia/statements/2013/aug/10/ken-cuccinelli/cuccinelli-says-his-support-fetal-personhood-was-a/
Ken Cuccinelli	4	Im the only candidate for governor whos rolled out any policies so far.	What about Terry McAuliffe?	/virginia/statements/2013/jul/10/ken-cuccinelli/cuccinelli-says-mcauliffe-has-rolled-out-no-polici/
Ken Cuccinelli	4	We have never gone a year in Virginia -- ever -- without passing a budget -- ever.	Except in 2001	/virginia/statements/2013/may/06/ken-cuccinelli/cuccinelli-says-virginia-legislature-has-never-fai/
Ron Johnson	0	The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.	The feds delivered the mail back then, but not much else.	/wisconsin/statements/2011/jul/31/ron-johnson/us-senator-ron-johnson-says-federal-government-spe/
Ron Johnson	1	Nobody in total is proposing cutting anything. Were trying to reduce the rate of growth in government.	Plenty of cuts, but growth overall	/wisconsin/statements/2013/feb/20/ron-johnson/ron-johnson-says-republican-budget-proposals-dont-/
Ron Johnson	1	There are 100 members of the U.S. Senate. Fifty-seven of them, including Russ Feingold, are lawyers. There are zero manufacturers and one accountant.	Some lawyers never practiced, and the accountant's other numbers were slightly off	/wisconsin/statements/2010/oct/22/ron-johnson/ron-johnson-says-there-are-57-lawyers-including-ru/
Ron Johnson	2	Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.	Costs, some -- quality, not really	/truth-o-meter/statements/2013/nov/26/ron-johnson/johnson-said-republicans-have-proposed-dozens-solu/
Ron Johnson	2	President Obama has increased the federal workforce 192,000 individuals -- about 10 percent since hes taken office -- while weve lost 2 million jobs.	Feds are a growth industry	/wisconsin/statements/2011/dec/15/ron-johnson/sen-ron-johnson-says-obama-has-increased-federal-w/
Ron Johnson	2	Both the state and federal governments make more per gallon in gas taxes than the oil companies make themselves for doing all the work.	Sometimes yes, sometimes no. It depends on the year and the price of crude. 	/wisconsin/statements/2010/sep/03/ron-johnson/ron-johnson-says-gas-taxes-exceed-oil-company-prof/
Ron Johnson	3	The Iranian parliament will get to say yes or no on this deal, and I think the United States Congress should have the exact same input into the process.	Even if true (it's not) would be symbolic	/truth-o-meter/statements/2015/mar/10/ron-johnson/ron-johnson-irans-parliament-gets-vote-nuclear-dea/
Ron Johnson	3	Before Act 10, the total cost of public sector employees employment was 29 percent higher than that in the private sector. After the act, its still 22 percent higher.	Picture a lot more cloudy than presented	/wisconsin/statements/2012/jul/02/ron-johnson/us-sen-ron-johnson-says-public-private-pay-gap-aft/
Ron Johnson	3	Russ Feingold cut Medicare by $523 billion.	Growth in the program may slow, but it's still increasing	/wisconsin/statements/2010/oct/08/ron-johnson/ron-johnson-says-sen-russ-feingold-cut-medicare-52/
Ron Johnson	4	A majority of Wisconsinites opposed the government takeover of health care. But Russ Feingold voted for it anyway.	In using loaded language, Johnson overshoots his target	/wisconsin/statements/2010/oct/05/ron-johnson/ron-johnson-says-russ-feingold-went-against-wishes/
Adam Kinzinger	2	Since Debbie Halvorson has been in politics, Illinois has lost hundreds of thousands of jobs.	A guided tour through a zig-zagging fact-check	/truth-o-meter/statements/2010/oct/07/adam-kinzinger/adam-kinzinger-says-hundreds-thousands-illinois-jo/
Glee	5	The U.S. Census believes that by 2030 the majority of Americans will use Spanish as their first language.	We'll sing it gleefully: This claim was out of tune	/florida/statements/2012/feb/14/glee/ricky-martins-character-tv-show-glee-says-us-censu/
Keith Olbermann	1	President Obama is actually increasing Bush-era defense spending by $21 billion in the new fiscal year.	Yes, if based on the "base" budget	/truth-o-meter/statements/2009/apr/13/keith-olbermann/olbermann-right-about-base-defense-spending/
Keith Olbermann	4	Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.	He muffs two statistics in two sentences	/truth-o-meter/statements/2010/jul/09/keith-olbermann/olbermann-says-oil-and-gas-subsidies-account-88-pe/
Keith Olbermann	4	Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq.	He Tweeted from Iraq, but the mission was hardly top secret	/truth-o-meter/statements/2009/jun/24/keith-olbermann/olbermann-says-rep-hoekstra-tweeted-whereabouts-to/
Donna Howard	3	Fifty percent of our students who enter higher education need to take remedial courses because they are not prepared for college-level work.	That's just community college students	/texas/statements/2011/apr/09/donna-howard/state-rep-donna-howard-says-50-percent-students-wh/
Holly  Turner	4	Giving money to politicians has paid off for Paul Workman. Workman gave thousands to politicians and got millions in government construction projects.	Heavy claim, light proof	/texas/statements/2010/apr/07/holly-turner/turner-says-workman-gave-thousands-political-candi/
Richard Lugar	1	Eliminating earmarks does not reduce spending.	At least not the way the budget process is today	/truth-o-meter/statements/2010/nov/18/richard-lugar/richard-lugar-says-ending-earmarks-wont-save-money/
Robert Watson	4	I'm well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.	Tokin' out of context	/rhode-island/statements/2011/may/08/robert-watson/former-house-minority-leader-says-marijuana-recogn/
Libre Initiative	2	The startup rate of Hispanic businesses is three times the national rate.	It's closer to two times as fast	/truth-o-meter/statements/2014/aug/12/libre-initiative/conservative-group-says-hispanic-business-growth-t/
Bobby Jindal	0	In New Orleans, nearly100 percent of our kids are in charter schools.	Katrina changed things	/truth-o-meter/statements/2015/jul/16/bobby-jindal/bobby-jindal-says-nearly-100-percent-new-orleans-s/
Bobby Jindal	1	Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.	If you pick the right range of years	/truth-o-meter/statements/2014/feb/27/bobby-jindal/bobby-jindal-says-louisianas-growth-has-outpaced-n/
Bobby Jindal	2	I'm the only (Republican)candidate that has actually reduced the size of government.	By one yardstick, not by another	/truth-o-meter/statements/2015/aug/30/bobby-jindal/bobby-jindal-im-only-candidate-has-actually-reduce/
Bobby Jindal	4	I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before.	Hey Guv, some former Dolphins would like a word with you	/truth-o-meter/statements/2009/dec/08/bobby-jindal/gov-jindal-predicts-saints-will-be-first-go-undefe/
Pat McCrory	3	If you survey, most (North Carolina) Democrats also agree with our (election) laws and voter ID.	True initially, but not so much recently	/truth-o-meter/statements/2013/nov/22/pat-mccrory/nc-gov-pat-mccrory-says-most-democrats-his-state-a/
Ed FitzGerald	1	Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while they're paying more and more at the gas pump and the grocery stores.	More work, less buying power	/ohio/statements/2013/may/03/ed-fitzgerald/ed-fitzgerald-says-people-are-working-longer-hours/
Ed FitzGerald	4	Ohioans want an end to pay-to-play politics.	Label doesn't fit	/ohio/statements/2013/may/02/ed-fitzgerald/ed-fitzgerald-accuses-gov-john-kasich-pay-play-pol/
Jeanne Shaheen	0	Ninety six percent of employers in the Granite State are considered small businesses.	"Small" is a broad definition	/new-hampshire/statements/2013/oct/11/jeanne-shaheen/jeanne-shaheen-says-96-percent-employers-new-hamps/
Jeanne Shaheen	1	In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.	Maybe not "force," but close	/new-hampshire/statements/2014/oct/10/jeanne-shaheen/jeanne-shaheen-says-scott-brown-wanted-women-look-/
Jeanne Shaheen	2	Big Oil gave Scott Brown $454,260.	Not all from Big Oil	/new-hampshire/statements/2014/sep/05/jeanne-shaheen/jeanne-shaheen-says-big-oil-gave-scott-brown-45426/
Jeanne Shaheen	2	For every dollar we put in unemployment, it pays back about $1.60.	Too many nuances	/truth-o-meter/statements/2010/jul/27/jeanne-shaheen/lawmaker-claims-unemployment-benefits-boost-econom/
Jeanne Shaheen	3	We spend in tax loopholes annually $1.1 trillion. That's more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.	The home mortgage deduction is a loophole?	/new-hampshire/statements/2012/jun/08/jeanne-shaheen/jeanne-shaheen-says-tax-loopholes-total-11-trillio/
Jose Diaz-Balart	0	The majority of the Hispanic population and the growth (of the population) is U.S.-born.	Huevos rancheros for thought	/punditfact/statements/2015/jul/29/jose-diaz-balart/majority-hispanic-population-us-born-says-jose-dia/
Jose Diaz-Balart	2	Every single day in this country, 1,000 people are deported and the vast majority of those people that are deported aren't criminals.	Should've skipped 'vast'	/punditfact/statements/2014/nov/12/jose-diaz-balart/diaz-balart-vast-majority-deportees-arent-criminal/
National Federation of Independent Business-Florida	0	Florida is one of only three states that require licenses for commercial interior designers.	Lawmakers targeting regulations	/florida/statements/2011/mar/18/national-federation-independent-business-florida/business-group-says-florida-one-three-states-regul/
Steven Goldstein	1	Polls now show a majority of Catholics favor marriage equality.	How often you go to mass impacts views	/new-jersey/statements/2011/jul/31/steven-goldstein/garden-state-equality-chairman-steven-goldstein-sa/
Chris Garrett and Bill Kennemer	4	this biennium, liquor sales account for nearly $1 billion in the state budget.	Maybe $1 billion in sales -- but it doesn't wind up in the budget	/oregon/statements/2012/jun/14/chris-garrett-bill-kennemer/do-liquor-sales-account-1-billion-state-budget/
Paul Hirschbiel	5	Virginia papers called (Scott) Rigells campaign Mostly False.	We pass judgments on statements, not campaigns	/virginia/statements/2012/oct/22/paul-hirschbiel/paul-hirschbiel-says-newspapers-called-scott-rigel/
Marilinda Garcia	1	I cut spending while serving in the state Legislature	Legislator has been quite consistent over several terms	/new-hampshire/statements/2014/jan/14/marilinda-garcia/nh-state-rep-marilinda-garcia-says-shes-cut-spendi/
David Perdue	1	There are only about 10 people in the United States Senate who have any real business experience.	55 U.S. senators say they're lawyers	/georgia/statements/2014/aug/13/david-perdue/perdue-largely-target-claim-about-businesspeople-s/
David Perdue	5	Michelle Nunns own plan says she funded organizations linked to terrorists.	Attack misconstrues leaked memos	/georgia/statements/2014/sep/26/david-perdue/perdues-attempt-tar-nunn-terrorist-link-fails/
Alisha Thomas Morgan	1	In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.	A rigorous exam shows claim mostly on point	/georgia/statements/2014/apr/08/alisha-thomas-morgan/lawmaker-seeks-passing-grade-crct-claim/
Rob Cornilles	0	51 percent of federal tax filers paid zero federal income tax.	His precision is the key	/oregon/statements/2011/nov/17/rob-cornilles/do-more-half-all-tax-filers-really-pay-no-federal-/
Rob Cornilles	5	Shes voted for 60 tax increases, hurting the middle class and small businesses.	She has voted for many taxes, just not 60 	/oregon/statements/2012/jan/10/rob-cornilles/rob-cornilles-claims-suzanne-bonamici-has-voted-60/
Ellen Rosenblum	0	nearly 29,000 Oregonians  almost 5 percent of all homeowners  are 90 days or more delinquent on their mortgage.	Just below 5 percent, which is still fairly high.	/oregon/statements/2013/aug/09/ellen-rosenblum/are-5-percent-homeowners-really-90-days-or-behind-/
Philip Keefe	4	If they made no changes whatsoever, the [state employees pension] plan still had enough money to go forward for approximately the next 16 years.	Misquoting his own evidence	/rhode-island/statements/2011/nov/18/philip-keefe/service-employees-international-union-president-ph/
Judson Phillips	2	Our government has spent $2.6 million to teach Chinese prostitutes how to drink responsibly.	Phillips distorts purpose of study	/truth-o-meter/statements/2011/jul/29/judson-phillips/founder-tea-party-nation-claims-us-government-has-/
Thurbert Baker	2	Our school test scores are right at the bottom.	Baker's test score claim doesn't completely add up.	/georgia/statements/2010/jun/08/thurbert-baker/baker-says-test-scores-show-georgia-failing-studen/
Online petition	1	For every [coyote] they kill, the population will replace and usually multiply.	They're prolific breeders	/rhode-island/statements/2011/apr/15/online-petition/petition-claims-killing-individual-coyotes-doesnt-/
Ohio House Republican Organizational Committee	4	Matt Patten kicked off his dirty campaign with thousands in dirty cash from guess who? (Frank) Russo and (Jimmy) Dimora.	Donations predate corruption probe and didn't amount to "thousands"	/ohio/statements/2010/oct/25/ohio-house-republican-organizational-committee/house-republicans-target-state-rep-matt-patten-try/
Darrell Issa	4	We can save $125 billion in simply not giving out money to Medicare recipients that don't exist for procedures that didn't happen.	Medicare's improper payments less than half that	/truth-o-meter/statements/2011/jan/04/darrell-issa/rep-darrell-issa-claims-government-could-save-125-/
Joseph Cryan	0	What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years.	Accurate for degrees started in 2004	/new-jersey/statements/2014/jan/12/joseph-cryan/joe-cryan-claims-four-year-graduation-rate-7-unive/
Nancy Nathanson	0	a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.	Depending on where you shop you might save more	/oregon/statements/2013/apr/15/nancy-nathanson/would-pack-day-smoker-save-1650-year-if-they-quit-/
John McCain	0	Obama has more czars than the Romanovs.	Is Obama the Czar Czar?	/truth-o-meter/statements/2009/jun/12/john-mccain/McCain-says-Obama-has-more-czars-than-Romanovs/
John McCain	0	Sen. Obama has never taken on his party leaders on a single major issue.	Obama's no maverick	/truth-o-meter/statements/2008/dec/03/john-mccain/obamas-no-maverick/
John McCain	0	Fidel (Castro) has made his preferences known in the campaign and had some very unkind things to say about me.	Fidel Castro no fan of McCain 	/truth-o-meter/statements/2008/oct/29/john-mccain/fidel-castro-no-fan-of-mccain-/
John McCain	0	Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks.	Obama disagreed, but didn't criticize	/truth-o-meter/statements/2008/oct/15/john-mccain/obama-disagreed-but-didnt-criticize/
John McCain	0	The average South Korean is3 inches taller than the average North Korean, a huge gulag.	Yes, South Koreans taller	/truth-o-meter/statements/2008/sep/27/john-mccain/yes-south-koreans-taller/
John McCain	0	My grandfather came home from ... (World War II) exhausted from the burdens he had borne, and died the next day.	History notes elder McCain's passing	/truth-o-meter/statements/2008/sep/05/john-mccain/history-notes-elder-mccains-passing/
John McCain	0	Governor Palin is the most popular governor in the country.	She wins popularity contest	/truth-o-meter/statements/2008/sep/03/john-mccain/she-wins-popularity-contest/
John McCain	0	You know, the approval rating of Congress is down to 13 percent.	He's got some numbers to back him up	/truth-o-meter/statements/2008/jun/24/john-mccain/hes-got-some-numbers-to-back-him-up/
John McCain	0	I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldn't blow up the United States Senate.  Sen. Obama had the opportunity to join that group.  He chose not to.	Obama not one of the Gang	/truth-o-meter/statements/2008/jun/20/john-mccain/obama-not-one-of-the-gang/
John McCain	0	John McCain stood up to the president and sounded the alarm on global warming ... five years ago.	McCain spoke up early	/truth-o-meter/statements/2008/jun/17/john-mccain/mccain-spoke-up-early/
John McCain	0	The U.S. Navy has sailed ships around the world for 60 years with nuclear power plants on them and we've never had an accident.	Navy's record unblemished	/truth-o-meter/statements/2008/jun/09/john-mccain/navys-record-unblemished/
